model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6,ensemble,domain,ram_gb,precision_class_7,recall_class_7,f1_class_7,support_class_7,precision_class_8,recall_class_8,f1_class_8,support_class_8,precision_class_9,recall_class_9,f1_class_9,support_class_9
RandomForest,symmetric,0.0,0,278884,69722,0.0,107.97750091552734,0.9428300966696308,0.9083046776663044,0.9426284600569904,0.957010179665004,0.928248298650722,0.9424098406485882,25421,0.9400200889654184,0.9634957053771032,0.951613137519792,33996,0.9123001776198936,0.9575856443719412,0.93439454235361,4291,0.8892405063291139,0.8515151515151516,0.8699690402476781,330,0.8985655737704918,0.7699736611062336,0.8293144208037825,1139,0.8913470993117011,0.8699616122840691,0.8805245264691598,2084,0.9640167364016736,0.9362047947988622,0.9499072356215214,2461,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.0,1,278885,69721,0.0,108.149897813797,0.9447081940878644,0.9087498126469188,0.944558764957306,0.9579620929855824,0.9304905393178868,0.944026500109752,25421,0.9428702931277508,0.964142840334157,0.9533879201268196,33996,0.9207427536231884,0.9477855477855478,0.9340684585343442,4290,0.8685897435897436,0.8237082066869301,0.8455538221528861,329,0.9008016032064128,0.7892888498683055,0.8413664014974263,1139,0.8819047619047619,0.8886756238003839,0.8852772466539197,2084,0.9618852459016394,0.9532900081234768,0.9575683394532843,2462,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.0,2,278885,69721,0.0,106.8743486404419,0.942685847879405,0.913653228551925,0.9425206046938256,0.9529862792574656,0.9289563746508792,0.940817911993785,25421,0.9410849586586384,0.9608777503235676,0.9508783675608016,33996,0.9238418079096046,0.9529137529137528,0.9381526104417672,4290,0.8705882352941177,0.896969696969697,0.8835820895522388,330,0.9081632653061223,0.781387181738367,0.8400188768286928,1139,0.8951965065502183,0.8853166986564299,0.8902291917973462,2084,0.959158415841584,0.9447379114181228,0.9518935516888434,2461,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.0,3,278885,69721,0.0,107.19466853141785,0.9423846473802728,0.9136835119001409,0.9422191285362652,0.9558906997486418,0.9275008850950002,0.9414818216303632,25421,0.940029898804048,0.9618190375338276,0.950799651061355,33996,0.9188883868052418,0.948018648018648,0.9332262505736576,4290,0.8651685393258427,0.9333333333333332,0.8979591836734694,330,0.9159751037344398,0.7752414398595259,0.8397527341892534,1139,0.8782483156881616,0.8757197696737045,0.8769822200864968,2084,0.958316305680425,0.9528646891507516,0.9555827220863896,2461,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.0,4,278885,69721,0.0,106.771559715271,0.9419830467147632,0.9092212331804904,0.9418323891778873,0.9535466149620294,0.9286388670338316,0.9409279336734694,25420,0.94124261208015,0.9603188610424755,0.9506850511786374,33996,0.9166479946224512,0.9533908179911442,0.934658441855152,4291,0.8892405063291139,0.8515151515151516,0.8699690402476781,330,0.8921078921078921,0.7840210711150132,0.8345794392523365,1139,0.8847815650504081,0.8843570057581573,0.8845692344612431,2084,0.9577989242863052,0.9406745225518082,0.949159491594916,2461,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.1,0,278884,69722,10.010255159851408,122.14992952346802,0.9337798686210952,0.8948294346785062,0.9336615856321114,0.9492029842227568,0.9158963062035324,0.9322522522522524,25421,0.9336271713767176,0.9533180374161666,0.9433698642099289,33996,0.9012969883490876,0.9554882311815428,0.9276018099547512,4291,0.8134110787172012,0.8454545454545455,0.8291233283803864,330,0.8512476007677543,0.7787532923617209,0.8133883539660706,1139,0.8674641148325359,0.8699616122840691,0.8687110685194058,2084,0.9503257328990228,0.9483949613978058,0.949359365466748,2461,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.1,1,278885,69721,10.013804973376123,122.412752866745,0.9362315514694282,0.8969875383395343,0.9361619918721716,0.9495934959349592,0.9189252979819834,0.9340077167589612,25421,0.9373826104545324,0.954229909401106,0.945731236243313,33996,0.9132481506388702,0.9496503496503496,0.9310935893040796,4290,0.8029850746268656,0.817629179331307,0.8102409638554217,329,0.8566073102155577,0.8024582967515365,0.828649138712602,1139,0.8640148011100832,0.8963531669865643,0.8798869524258125,2084,0.944154278826838,0.9545085296506904,0.9493031710765502,2462,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.1,2,278885,69721,10.05181347150259,122.23167848587036,0.9336785186672596,0.8995597440007768,0.9335826387769764,0.9431877958968964,0.9169190826482042,0.929867953883592,25421,0.9350638076221894,0.9504941757853864,0.9427158548860006,33996,0.9222272317403066,0.9536130536130536,0.93765757506303,4290,0.7966573816155988,0.8666666666666667,0.8301886792452831,330,0.8707810993249759,0.7928007023705005,0.8299632352941176,1139,0.8728377746610566,0.8958733205374281,0.8842055410845371,2084,0.9387096774193548,0.945956928078017,0.9423193685488768,2461,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.1,3,278885,69721,10.024562095487386,123.45021080970764,0.9356865219948078,0.9051945170536604,0.9356142017645902,0.94914771571539,0.9177845088706188,0.9332026718931242,25421,0.936362059996532,0.953053300388281,0.9446339543426924,33996,0.9112003569834896,0.951981351981352,0.9311445508435932,4290,0.8128342245989305,0.9212121212121211,0.8636363636363636,330,0.8759541984732825,0.8059701492537313,0.8395061728395061,1139,0.8661343353687178,0.8848368522072937,0.8753857108948493,2084,0.9405189620758484,0.9573344169036976,0.9488521949254932,2461,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.1,4,278885,69721,9.96503935313839,124.36181163787842,0.9333486324063052,0.8972549025265588,0.9332586774948616,0.945800008119849,0.9164437450826122,0.9308904916984676,25420,0.9348008204061588,0.951876691375456,0.9432614810604404,33996,0.9098616688978136,0.9503612211605686,0.9296705801892168,4291,0.8348348348348348,0.8424242424242424,0.8386123680241327,330,0.859035004730369,0.797190517998244,0.8269581056466302,1139,0.8600842302292934,0.8819577735124761,0.8708836768538261,2084,0.939935064935065,0.9410808614384396,0.940507614213198,2461,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.2,0,278884,69722,20.01082887508785,133.9139266014099,0.9220332176357534,0.8574570910490632,0.9223359577366194,0.9415063446582072,0.9048031155344008,0.9227899139435518,25421,0.9315304276795612,0.9392575597129074,0.935378035562586,33996,0.8849653379549394,0.9519925425308786,0.917256090715168,4291,0.6008583690987125,0.8484848484848485,0.7035175879396985,330,0.7551369863013698,0.7743634767339772,0.764629388816645,1139,0.8204193254329991,0.8637236084452975,0.8415147265077139,2084,0.8976653696498055,0.9374238114587566,0.91711389385808,2461,RF,Tabular,,,,,,,,,,,,,
RandomForest,symmetric,0.2,1,278885,69721,20.00501999031859,135.85372233390808,0.9255461051906886,0.8616198003312858,0.925933193676162,0.9428256611165524,0.908815546201959,0.9255082623935904,25421,0.9363189609781782,0.9415519472879162,0.9389281628582324,33996,0.894190413077093,0.9435897435897436,0.918226154020642,4290,0.5869565217391305,0.8206686930091185,0.6844106463878327,329,0.7704376548307185,0.8191395961369623,0.7940425531914893,1139,0.8080852954242559,0.8728406909788867,0.8392156862745098,2084,0.9093725793958172,0.9536961819658814,0.9310071371927042,2462,RF,Tabular,,,,,,,,,,,,,
